10006,רבי שמואל בן יוסף הנגיד,
10010,רבי משה הדרשן,
10013,רבי שמעון הגדול ממגנצא,
10014,רבי יצחק בן אליהו משפיירא,
10015,רבי יוסף טוב עלם  הצרפתי,
10016,רבי אליעזר הגדול בן יצחק,
10017,רבי יעקב בן יקר,
10018,רבי יצחק בן יהודה,
10019,רבי יצחק הלוי ממגנמא,
10020,רבי חושיאל בן אלחנן,
10021,רבי שמריה בן אלחנן,
10022,רבי משה בן חנוך,
10023,רבי נתן בן חנוך,
10024,רבי חנוך בן משה,
10025,רבי יצחק בן ברוך אבן אלבאליה,
10026,רבי ברוך בן יצחק אלבאליה,
10027,רבי יצחק בן יעקב אל ברגלוני,
10028,רבי יצחק בן משה מבגדד,
10031,רבי אלעזר הקליר,
10033,רבי קלונימוס בן משה מרומי,
10034,רבי שפטיה בן אמיתי מרומי,
10035,רבי דניאל בן יהודה מרומי,
10041,רבי מימון בן יוסף נדיין,אבי הרמב"ם
10047,רבי אלעזר בן יהודה,
10052,רבי יוסף אבן מיגאש,ר"י מיגאש      
10053,רבי משה בן מימון,הרמב״ם 
10054,רבי משה בן נחמן,הרמב״ן 
10058,רבי הלל בן אחיקים מיון,
10062,רבי יוסף בן רש״י,
10063,רבי יצחק בן רש״י,
10065,רבי יקותיאל בן משה,מלתמידי רש"י   
10066,רבי שמואל בן מאיר הקטן,רשב"ם הקטן     
10067,רבי אלעזר בן שמואל,
10070,רבי משה בן קלונימוס ממגנצא,
10071,רבי קלונימוס בן משה הצעיר,
10072,רבי שלמה הכהן בן קלונימוס מקלוניא,
10081,רבי יהודה בן יצחק מפאריס,
10083,רבי ברוך בן יצחק ממגנצא,
10193,רבי יצחק עראמה הזקן,
10207,רבי אברהם אבן עזרא הצעיר,אבן עזרא הצעיר
10218,רבי מנחם המאירי,המאירי 
10238,רבי עזרא בן שלמה גירונדי,
10259,רבי מאיר מרוטנבורג,מהר״ם מרוטנבורג
10268,רבי יצחק בן משה מווינה,אור זרוע       
10269,רבי אביגדור כ״ץ מוינה,10000
10298,רבי שמעון בן צמח דוראן,הרשב״ץ 
10299,רבי שלמה בן שמעון דוראן,הרשב״ש 
10318,רבי אברהם בן הרמב״ם,
10398,רבי עזריאל בן שלמה מגרונה,
10500,רבי שלמה בן אדרת,הרשב״א 
10501,רבי יום־טוב בן אברהם אשבילי ,הריטב״א
10510,רבי ניסים בן ראובן גירונדי,הר״ן 
10511,רבי יצחק בן ששת דוראן,הריב״ש 
10516,רבי מנחם רקנאטי,
10600,רבי פרחיה בן נסים,
10601,רבי יהודה בן יקר,
10602,רבי אהרן הלוי ,הרא"ה          
10603,רבי קלונימוס בן קלונימוס,
10604,רבי לוי בן גרשום ,הרלב"ג         
10605,רבי אחאי בן שלמה,
10606,רבי יוסף בן שושן,
10607,רבי שלמה בן אדרת (הצעיר),
10610,רבי דוד בונפיל,
10612,רבי מרדכי בן הלל (המרדכי),
10613,רבי מאיר הכהן,מהר״ם כ״ץ      
10614,רבי ישראל אשכנזי,
10616,רבי יעקב בן סעדון,
10617,רבי אברהם בן דוד מסיג׳למסה,
10618,רבי שלמה בן אליעזר מקסטיליה,
10619,רבי שלמה בן פרחיה,
10620,רבי יוסף בן מנחם מנרבונה,
10621,רבי אברהם בן גרשום מפרפיניאן,
10635,רבי אברהם אבולעפיה מפרובאנס,
10644,רבי יעקב בן מאיר,רבנו תם
10645,רבי יהודה החסיד,רבי יהודה החסיד
10646,רבי יצחק בן אשר הלוי,
10647,רבי אליעזר בן נתן ממגנצא,
10648,רבי יחיאל מפאריס,
10651,רבי בחיי בן אשר ,רבנו בחיי        
10653,ר׳ שמואל בן חפני גאון,רשב"ח
10654,ר׳ יונה אבן ג׳נאח,אבן ג׳נאח
10655,ר׳ חזקיה גאון,חזקיה גאון
10656,ר׳ אליהו הזקן,אליהו הזקן
10657,ר׳ סעדיה גאון,רס״ג
10658,ר׳ יוסף בן ברכיה,יוסף בן ברכיה
10659,ר׳ מצליח דיין,מצליח דיין
10660,ר׳ משולם בן קלונימוס,משולם בן קלונימוס
10661,רב ששנא גאון,רב משרשיא בן תחליפא
10662,רב אחא משבחא,רב אחאי בעל השאילתות
10663,רב יהודאי גאון,רב יהודאי
10664,רב חנינאי כהנא בן הונא גאון,רב חנינאי כהנא
10665,רב אבא,ראבא
10666,רב פרקוי בן באבוי,רב פרקוי
10667,רב שמעון קיירא,רב שמעון קירא
10668,רב כהן צדק בן אבומאי גאון,רב כהן צדק
10669,רב שר שלום בן בועז גאון,רב שר שלום
10670,רב נטרונאי בן הילאי גאון,רב נטרונאי
10671,רב עמרם בן ששנא גאון,רב עמרם
10673,רב נחשון בן צדוק גאון,רב נחמן
10674,רב הילאי בן נטרונאי גאון,רב הילאי

(100 rows affected)
