,RabbiID,FullName,City,Country,Period,YearOfBirth,YearOfDeath,KnownFor,Notes,Sources,PlaceOfBirth,PlaceOfPtira,knownAs,ImageUrl,YoBHebrew,YoPHebrew
2,10002,רב האי בן שרירא גאון,פומבדיתא,בבל,המאה ה-10,939,1038,ראש ישיבת פומבדיתא; אחרון הגאונים; פוסק חשוב,נודע בצניעותו ובפסיקותיו; מורה לרבי ניסים גאון ואחרים,"אוה""ג; תשה""ג",פומבדיתא,בבל,רב האי גאון,NULL,       ,       
3,10003,רב חננאל בן חושיאל,קיירואן,תוניסיה,המאה ה-11,990,1053,פירוש על התלמוד מבית מדרשו של רב האי גאון,מייסד שיטת הפירוש ההמשכי לתלמוד,איגרות רב האי; ספר הערוך לרב נתן,קיירואן,קיירואן,רבינו חננאל,NULL,       ,       
4,10004,רב ניסים בן יעקב גאון,קיירואן,תוניסיה,המאה ה-11,990,1062,"מחבר ""ספר המפתח"" ו""שאלות ותשובות""",חברו הקרוב של רב חננאל; קיבל תשובות מרב האי גאון,ספר המפתח; תשובות רב האי גאון,קיירואן,קיירואן,רב ניסים גאון,NULL,       ,       
1,10001,רב שרירא בן חנינא גאון,פומבדיתא,בבל,המאה ה-10,906,1006,"ראש ישיבת פומבדיתא ומחבר ""איגרת רב שרירא גאון""",אביו של רב האי גאון; מתאר את תולדות התורה שבעל פה עד דורו,"איגרת רב שרירא גאון; אוה""ג",בבל,פומבדיתא,רב שרירא גאון,NULL,       ,
269,10269,רבי אביגדור כ״ץ מוינה,וינה,אשכנז,המאה ה-14,0,0,אב״ד וינה,מתועד היטב בספרות התקופה,JE,,,10000,NULL,       ,       
635,10635,רבי אברהם אבולעפיה מפרובאנס,נרבונה,פרובאנס,המאה ה-14,1290,1340,מקובל וחכם מפרובאנס,לא לבלבל עם המקובל הספרדי בעל “ספר האות”.,JE,נרבונה,נרבונה,               ,NULL,       ,       
312,10312,רבי אברהם אבן זאמירו,תוניס,תוניס,המאה ה-14,0,0,חכם ופוסק,מוזכר בספרי תולדות יהודי תוניס,EJ,,,               ,NULL,       ,       
207,10207,רבי אברהם אבן עזרא הצעיר,טולדו,קסטיליה,המאה ה-14,0,0,מפרש ופייטן,מן הענף הספרדי המאוחר של משפחת אבן עזרא,EJ,,,אבן עזרא הצעיר,NULL,       ,       
366,10366,רבי אברהם אלעמאדי,חלב,סוריה,המאה ה-14,0,0,חכם ודיין,נזכר בפנקסי הקהילה בארם צובא,JE,,,               ,NULL,       ,       
380,10380,רבי אברהם בן אליהו הבגדדי,בגדד,בבל,המאה ה-14,0,0,דיין בבגדד,מתועד במסמכים משפטיים,JE,,,               ,NULL,       ,       
391,10391,רבי אברהם בן אליהו מאלמדם,אלמדם,בבל,המאה ה-14,0,0,פוסק באזור גבול פרס־בבל,נזכר במסמכים פרסיים־בבליים,NLI,,,               ,NULL,       ,       
621,10621,רבי אברהם בן גרשום מפרפיניאן,פרפיניאן,פרובאנס,המאה ה-14,1290,1350,מראשי המלומדים בעיר פרפיניאן,מוזכר בין חכמי דור הרלב״ג.,JE,פרפיניאן,פרפיניאן,               ,NULL,       ,       
56,10056,רבי אברהם בן דוד הראשון,נרבונה,פרובנס,המאה ה-11,1020,1080,מגדולי ראשוני פרובנס; ממייסדי ישיבת נרבונה,מוזכר אצל רבי משה הדרשן; אבי משפחת הראב״דים,"סה""ד; ס""י",נרבונה,נרבונה,הראב״ד הראשון  ,NULL,       ,       
376,10376,רבי אברהם בן דוד מביירות,ביירות,סוריה,המאה ה-14,0,0,חכם ידוע,ביירות הייתה חלק מסוריה הממלוכית; תעודות מזכירותו,EJ,,,               ,NULL,       ,       
247,10247,רבי אברהם בן דוד מטורטונה,טורטונה,איטליה,המאה ה-14,0,0,חכם קהילתי,נזכר בתעודות טורטונה,NLI,,,               ,NULL,       ,       
617,10617,רבי אברהם בן דוד מסיג׳למסה,סיג׳למסה,מרוקו,המאה ה-14,1300,1360,חכם ידוע מסיג׳למסה שבדרום מרוקו,פועל בדור הרשב״״א המאוחר והרשב״״ץ.,JE,סיג׳למסה,סיג׳למסה,               ,NULL,       ,       
49,10049,רבי אברהם בן דוד מפושקיירה,פושקיירה,פרובנס,המאה ה-12,1120,1198,מבקרו של הרמב״ם; מחבר השגות על היד החזקה,אביו של רבי יצחק הסופר (בעל השגות),השגות על הרמב״ם; ספר הקבלה,נרבונה,פושקיירה,הראב״ד השלישי  ,NULL,       ,       
318,10318,רבי אברהם בן הרמב״ם,קהיר,מצרים,המאה ה-14,1186,1237,ראש קהילת מצרים,הנהגתו הוסיפה להשפיע על קהילת מצרים עד המאה ה-14,EJ,,,               ,NULL,       ,       
306,10306,רבי אברהם בן זאול מפאס,פאס,מרוקו,המאה ה-14,0,0,חכם מקומי,נזכר במסמכים קהילתיים,EJ,,,               ,NULL,       ,       
324,10324,רבי אברהם בן יוסף המצרי,קהיר,מצרים,המאה ה-14,0,0,סופר ומעתיק,כתבי יד חתומים בשמו נמצאו בגניזה,EJ,,,               ,NULL,       ,       
314,10314,רבי אברהם בן יוסף מג׳רבה,ג׳רבה,תוניס,המאה ה-14,0,0,חכם ופייטן,מופיע ברשימות חכמי ג׳רבה,NLI,,,               ,NULL,       ,       
237,10237,רבי אברהם בן מתתיה ממונפלייה,מונפלייה,פרובאנס,המאה ה-14,0,0,מקובל וחכם,מוזכר במסמכי הקהילה,JE,,,               ,NULL,       ,       
254,10254,רבי אברהם בן עזריה מטרנטו,טרנטו,איטליה,המאה ה-14,0,0,מקובל איטלקי,נרשם במסמכי קהילת טרנטו,JE,,,               ,NULL,       ,       
309,10309,רבי אברהם בן שלמה מבוג׳יה,בוג׳יה,אלג׳יר,המאה ה-14,0,0,חכם מקומי,מוזכר בפנקסי בוג׳יה,EJ,,,               ,NULL,       ,       
354,10354,רבי אברהם בן שמואל מטבריה,טבריה,ארץ ישראל,המאה ה-14,0,0,חכם מקומי,מוזכר במסמכים מימי הממלוכים,EJ,,,               ,NULL,       ,       
330,10330,רבי אברהם בן שמעון מאלכסנדריה,אלכסנדריה,מצרים,המאה ה-14,0,0,דיין,מתועד ברשומות קהילת אלכסנדריה,EJ,,,               ,NULL,       ,       
196,10196,רבי אברהם די בוטון,בורגוס,קסטיליה,המאה ה-14,0,0,ראש משפחת די בוטון,פוסק בקהילות קסטיליה,NLI,,,               ,NULL,       ,       
334,10334,רבי אברהם דמיאטי,דמיאט,מצרים,המאה ה-14,0,0,חכם,מוזכר בשטרות קהילה,NLI,,,               ,NULL,       ,       
360,10360,רבי אברהם הדיין מדמשק,דמשק,סוריה,המאה ה-14,0,0,דיין וחכם מרכזי,נזכר ברישומי קהילה דמשקאיים,JE,,,               ,NULL,       ,       
386,10386,רבי אברהם מבאצרה,באצרה,בבל,המאה ה-14,0,0,חכם מקומי,נזכר בתולדות יהדות באצרה,JE,,,               ,NULL,       ,       
297,10297,רבי אברהם מיואנינה,יואנינה,ביזנטיון,המאה ה-14,0,0,דיין וראש קהל,מוזכר בפנקסי הקהילה הרומניוטית,NLI,,,               ,NULL,       ,       
294,10294,רבי אברהם קנדיאנו,קנדיה,ביזנטיון,המאה ה-14,0,0,פוסק ומקובל,מבני משפחת קנדיאנו הידועה,NLI,,,               ,NULL,       ,       
228,10228,רבי אהרן בן יצחק מטולושה,טולוז,פרובאנס,המאה ה-14,0,0,דיין ופוסק,מוזכר בתקנות טולושה,JE,,,               ,NULL,       ,       
342,10342,רבי אהרן בן שמעון הירושלמי,ירושלים,ארץ ישראל,המאה ה-14,0,0,מקובל וחכם,נזכר בכתבים מקובלים ירושלמיים,NLI,,,               ,NULL,       ,       
602,10602,רבי אהרן הלוי ,ברצלונה,קטלוניה,המאה ה-14,1235,1303,"מגדולי חכמי קטלוניה, מחבר “בדק הבית”",עמיתו של הרשב״א; מגדולי פוסקי ספרד; רבו של הריטב״א.,JE,ברצלונה,ברצלונה,"הרא""ה          ",NULL,       ,       
605,10605,רבי אחאי בן שלמה,נרבונה,פרובאנס,המאה ה-14,1290,1345,מפרש תלמוד וראש ישיבה בנרבונה,נמנה עם חכמי פרובאנס המאוחרים.,JE,נרבונה,נרבונה,               ,NULL,       ,       
265,10265,רבי אלחנן מרגנשבורג,רגנשבורג,אשכנז,המאה ה-14,0,0,חכם אשכנזי,ידוע במסורת גרמניה,EJ,,,               ,NULL,       ,       
278,10278,רבי אליהו קפשאלי הזקן,קושטא,ביזנטיון,המאה ה-14,0,0,ראש קהילה וחכם מרכזי,מאבות שושלת קפשאלי; מתועד ברשומות קושטא,EJ,,,               ,NULL,       ,       
76,10076,רבי אליעזר בן אליעזר מגרמייזא,וורמייזה,אשכנז,המאה ה-15,1420,1488,"פרשן על רש״י; מחבר ""ספר הרא״ם"" על פירוש רש״י לתורה",מבעלי התוספות האחרונים באשכנז; עמד על דיוקי לשון ודרש ברש״י; ספרו נחשב יסודי בפרשנות המקרא האשכנזית המאוחרת,"ספר הרא״ם על התורה; סה""ד; הקדמת מהדורת בובר; ס""י",מגנצא,מגנצא,הרא״ם,NULL,       ,       
82,10082,רבי אליעזר בן יואל הלוי,בון,אשכנז,המאה ה-12,1140,1220,"מחבר ספר ראביה – אסופת הלכות, פסקים ומנהגים",תלמיד רבי יהודה החסיד ורבי יהודה בן קלונימוס; נחשב עמוד פסיקה באשכנז,"ספר ראביה; סה""ד",קלן,בון,"הראבי""ה",NULL,       ,       
258,10258,רבי אליעזר בן יואל הלוי,וורמייזא,אשכנז,המאה ה-14,0,1300,פוסק חשוב ודיין,מחבר ספר רא״ביה; השפעתו נמשכה בתחילת מאה י״ד,EJ,,,"ראבי""ה         ",NULL,       ,       
77,10077,רבי אליעזר בן נתן,מגנצא,אשכנז,המאה ה-12,1090,1170,פוסק ותלמיד רש״י; מחבר ספר ראב״ן – אסופת פסקים ומנהגים,"נחשב מאבות בעלי התוספות; משפיע ישיר על הרמב״ם, הרי״ף והרא״ש","ספר ראב״ן; סה""ד; ס""י",מגנצא,מגנצא,הראב״ן,NULL,       ,       
647,10647,רבי אליעזר בן נתן ממגנצא,מגנצא,גרמניה,בעלי התוספות,1090,1170,מגדולי פוסקי אשכנז,,,מגנצא,מגנצא,               ,,       ,       
16,10016,רבי אליעזר הגדול בן יצחק,מגנצא,גרמניה,המאה ה-11,1020,1084,"מראשי ישיבת מגנצא; מרבותיו של רש""י",תלמידו של רב גרשום מאור הגולה; שילב עומק פלפול אשכנזי עם מסורת בבלית,"ס""י; דברי ימי צרפת",מגנצא,מגנצא,               ,NULL,       ,       
262,10262,רבי אליעזר מווינה,וינה,אשכנז,המאה ה-14,0,0,פוסק אשכנזי,נצר לשושלת בעלי הרוקח,JE,,,               ,NULL,       ,       
47,10047,רבי אלעזר בן יהודה,מגנצא,אשכנז,המאה ה-12,1090,1170,"מחבר ""ספר ראב״ן""; מראשוני הפוסקים באשכנז",נחשב תלמיד־חבר לרש״י ולבניו,"ספר האורה; סה""ד",מגנצא,מגנצא,,NULL,       ,       
48,10048,רבי אלעזר בן יהודה מגרמייזא,וורמייזא,אשכנז,המאה ה-12,1160,1238,מקובל ופוסק; מחבר ספר הרוקח,תלמיד ר״י הזקן ובעל מסורת חסידי אשכנז,פוסק ומקובל; מחבר ספר הרוקח וספר האשכול,וורמייזא,וורמייזא,הרוקח          ,NULL,       ,       
67,10067,רבי אלעזר בן שמואל,מגנצא,אשכנז,המאה ה-12,1090,1170,מחבר ספר ראב״ן; תלמידו של רש״י ובניו,מהחשובים בבעלי התוספות הראשונים; ביסס את שיטת ההוראה האשכנזית,"ספר ראב״ן; סה""ד",מגנצא,מגנצא,,NULL,       ,       
31,10031,רבי אלעזר הקליר,גליל,ארץ ישראל,המאה ה-06,570,640,אבי הפיוט העברי; מחבר פיוטים רבים למחזורים קדומים,שמו נגזר ככל הנראה מקלירוס – שם יישוב בגליל או ביוון; יסד את סגנון הפיוט הקלירי ששלט עד ימי ספרד,"אוצר הפיוט; סה""ד; ספר הקבלה",א״י (טבריה?),א״י,               ,NULL,       ,       
79,10079,רבי אשר בן יחיאל,קלן,אשכנז / ספרד,המאה ה-13,1250,1327,פוסק וראש ישיבה; תלמיד מהר״ם מרוטנבורג; מחבר פסקי הרא״ש,יצא מספרד לאחר מאסר רבו; הביא את מסורת אשכנז לספרד; אביו של הטור,"פסקי הרא״ש; ס""י; סה""ד",קלן,טולדו,הרא״ש,NULL,       ,       
260,10260,רבי אשר בן יחיאל,קולוניה,אשכנז,המאה ה-14,1250,1327,מגדולי אשכנז,עבר מאשכנז לספרד אך נחשב לדמות מפתח במאה הי״ד,EJ,,,הרא״ש          ,/img/rosh.jpg,       ,       
651,10651,רבי בחיי בן אשר ,סראגוסה,ספרד,ראשוני ספרד,1255,1340,מחבר פירוש על התורה וספר כד הקמח,"מפרש מקובל ומעמיק, נחשב תלמיד מובהק של הרשב״א ומציין את תורותיו",פירוש ר׳ בחיי; כד הקמח; סדר הדורות,סראגוסה,ספרד,רבנו בחיי        ,,       ,       
251,10251,רבי בנימין בן אלעזר ממודנה,מודנה,איטליה,המאה ה-14,0,0,חכם איטלקי,ממשפחת החכמים של מודנה,JE,,,               ,NULL,       ,       
226,10226,רבי בנימין בן מתתיה מנרבונה,נרבונה,פרובאנס,המאה ה-14,0,0,מקובל וחכם,מוזכר במסמכי הקהילה,EJ,,,               ,NULL,       ,       
26,10026,רבי ברוך בן יצחק אלבאליה,גרנדה,ספרד,המאה ה-11,1045,1100,בנו של רבי יצחק אלבאליה; מורה ופוסק בדור שאחרי הנגיד,ממשיך דרכו של אביו בישיבת גרנדה; פעל להפצת התורה בדרום ספרד,"ספר הקבלה; סה""ד",גרנדה,גרנדה,               ,NULL,       ,       
83,10083,רבי ברוך בן יצחק ממגנצא,מגנצא,אשכנז,המאה ה-12,1140,1210,מחבר ספר התרומה – ספר יסוד בהלכה ובמנהגי אשכנז,תלמידו של רבי יצחק בן אשר הלוי ורבי אליעזר ממגנצא; היה מרבותיו של מהר״ם מרוטנבורג,"ספר התרומה; סה""ד; ס""י",מגנצא,מגנצא,               ,NULL,       ,       
8,10008,רבי גרשום בן יהודה,מגנצא,גרמניה,המאה ה-10,960,1040,מייסד ישיבת מיינץ; גוזר חרם דרבנו גרשום,"אבי יהדות אשכנז; רבו של רש""י","תשובות רבנו גרשום; ספר הקבלה לרמב""ן",מץ,מיינץ,רבנו גרשום מאור הגולה,NULL,       ,       
216,10216,רבי דוד אלקראס,קורדובה,קסטיליה,המאה ה-14,0,0,חכם ספרדי,לפי מקורות קסטיליה הקדומה,Cordoba Archives,,,               ,NULL,       ,       
610,10610,רבי דוד בונפיל,פרפיניאן,פרובאנס,המאה ה-14,1280,1340,"מלומד, פרשן ומורה",פועל בדורו של הרלב״ג בפרפיניאן.,JE,פרפיניאן,פרפיניאן,               ,NULL,       ,       
57,10057,רבי דוד בן אברהם,נרבונה,פרובנס,המאה ה-11,1050,1100,דיין וראש ישיבת נרבונה; אביו של רבי אברהם בן דוד השלישי (הראב״ד המפורסם),ממשיך שושלת הראב״דים; השפעתו ניכרת בדור הבא,"ס""י; סה""ד",נרבונה,נרבונה,הראב״ד השני    ,NULL,       ,       
